Average_Usage,Country_Code,Population,Safety_Score,Stress_Level,Water_Value,Country
20.282,AFG,42647492.0,2,31.0454615,0.7950618,Afghanistan
0.786,ALB,2377128.0,4,2.602649007,12.09745123,Albania
9.802,DZA,46814308.0,4,84.01474244,13.81303452,Algeria
0.7057,AGO,37885849.0,1,0.475539084,128.99999,Angola
0.0044,ATG,93772.0,5,8.461538462,98.0836302,Antigua and Barbuda
37.69,ARG,45696159.0,2,4.301332968,11.41246618,Argentina
2.83,ARM,3033500.0,3,36.42682456,3.501538105,Armenia
8.64,AUS,27196812.0,5,1.756097561,90.26081973,Australia
3.49,AUT,9177982.0,5,4.491634492,98.08646395,Austria
12.59,AZE,10202830.0,4,36.30857967,3.630140516,Azerbaijan
0.1551,BHR,1588670.0,5,133.7068966,74.72670988,Bahrain
35.87,BGD,173562364.0,2,2.923314143,7.09347419,Bangladesh
0.07,BRB,282467.0,3,87.5,41.59414911,Barbados
1.328,BLR,9132629.0,5,2.293609672,35.42654228,Belarus
4.199,BEL,11858610.0,3,22.94535519,97.49158266,Belgium
0.101,BLZ,417072.0,4,0.464709672,11.52776433,Belize
0.13,BEN,14462724.0,1,0.492610837,39.55393203,Benin
0.3379,BTN,791524.0,2,0.433205128,6.069276147,Bhutan
0.2204276,BWA,2521139.0,2,1.800879085,61.34567455,Botswana
67.19,BRA,211998573.0,3,0.777032497,21.28870089,Brazil
5.076,BGR,6441421.0,4,23.83098592,9.015026539,Bulgaria
0.818,BFA,23548781.0,1,6.059259259,13.35885875,Burkina Faso
0.2801,BDI,14047786.0,1,2.234365029,7.179543963,Burundi
0.0253,CPV,524877.0,2,8.433333333,49.72438964,Cabo Verde
2.184,KHM,17638801.0,2,0.458727158,7.829128876,Cambodia
1.0884,CMR,29123744.0,1,0.384389899,25.04759296,Cameroon
36.253,CAN,41288599.0,5,1.249241902,40.38349295,Canada
0.0725,CAF,5330690.0,1,0.05141844,17.59435011,Central African Republic
0.8796,TCD,20299123.0,1,1.924726477,10.47027215,Chad
35.368,CHL,19764771.0,5,3.831603579,6.931973659,Chile
568.48,CHN,1408975000.0,5,20.01535092,25.81485708,China
29.11566976,COL,52886363.0,4,1.23371482,8.630935337,Colombia
0.01,COM,866628.0,1,0.833333333,70.04105312,Comoros
3.13608,CRI,5129910.0,4,2.775292035,17.49044514,Costa Rica
0.665,HRV,3866200.0,4,0.630331754,34.47009405,Croatia
6.958,CUB,10979783.0,2,18.25288562,11.18823109,Cuba
0.275,CYP,1358282.0,5,35.25641026,74.94174167,Cyprus
1.366,CZE,10905028.0,4,10.3878327,132.4733518,Czechia
0.97643,DNK,5976992.0,4,16.27383333,288.4215272,Denmark
7.137,DOM,11427557.0,3,30.37021277,8.20475489,Dominican Republic
9.9158,ECU,18135478.0,3,2.24136528,8.521786499,Ecuador
0.3891,SLV,6338193.0,3,1.481157214,9.602326441,El Salvador
0.582,ERI,3535603.0,1,7.956254272,3.306099992,Eritrea
0.8529523,EST,1372341.0,4,6.660567703,26.2878036,Estonia
1.068,SWZ,1242822.0,1,23.68070953,3.453232385,Eswatini
10.5481,ETH,132059767.0,1,8.645983607,5.346830574,Ethiopia
0.0849,FJI,928784.0,2,0.29737303,35.43770668,Fiji
3.0,FIN,5619911.0,5,2.727272727,59.42631473,Finland
26.27207965,FRA,68551653.0,4,12.45122258,80.60802703,France
0.1391,GAB,2538952.0,2,0.083795181,97.03814232,Gabon
1.65372,GEO,3699557.0,4,2.611274278,8.271033802,Georgia
24.443,DEU,83516593.0,4,15.87207792,108.4009053,Germany
1.4486,GHA,34427414.0,2,2.577580071,32.58470152,Ghana
10.122,GRC,10405134.0,3,14.79824561,15.62959017,Greece
3.3241,GTM,18406359.0,2,2.598780393,18.09850269,Guatemala
0.89,GIN,14754785.0,1,0.39380531,10.46849297,Guinea
0.175,GNB,2201352.0,1,0.557324841,4.674146739,Guinea-Bissau
1.4447,GUY,831087.0,3,0.533099631,3.924989912,Guyana
1.45,HTI,11772557.0,2,10.34089288,7.918479355,Haiti
1.607,HND,10825703.0,3,1.743630919,11.7972007,Honduras
4.6726,HUN,9562065.0,5,4.492884615,24.46197493,Hungary
0.29,ISL,386506.0,5,0.170588235,60.16989316,Iceland
647.5,IND,1450935791.0,1,33.88455702,2.891319115,India
222.635,IDN,283487931.0,2,11.02863229,4.093859295,Indonesia
56.614,IRQ,46042015.0,3,63.00244825,2.984569868,Iraq
1.5408,IRL,5395790.0,4,2.963076923,236.1696706,Ireland
1.276,ISR,9974400.0,5,71.68539326,134.1458759,Israel
33.645,ITA,58952704.0,4,17.58755881,45.88023899,Italy
1.35,JAM,2839175.0,5,12.4734362,8.115319524,Jamaica
78.4,JPN,123975371.0,3,18.23255814,55.41685392,Japan
0.94184,JOR,11552876.0,5,100.5165422,32.58499371,Jordan
24.585,KAZ,20592571.0,4,22.67779725,7.423061976,Kazakhstan
4.032,KEN,56432944.0,2,13.13355049,14.90419648,Kenya
0.7701,KWT,4897263.0,5,3850.5,95.94736578,Kuwait
7.707,KGZ,7221868.0,5,32.63189093,0.855291936,Kyrgyzstan
0.181211,LVA,1866124.0,4,0.518634803,135.5935144,Latvia
1.812,LBN,5805962.0,5,40.23984011,18.30965118,Lebanon
0.0438,LSO,2337423.0,0,1.449371277,43.39945534,Lesotho
0.1459,LBR,5612817.0,1,0.062887931,4.265100909,Liberia
5.72,LBY,7381023.0,5,817.1428571,3.528628252,Libya
0.25439,LTU,2888278.0,4,1.038326531,163.693549,Lithuania
0.0478,LUX,677012.0,5,1.365714286,1189.976993,Luxembourg
13.4575,MDG,31964956.0,1,3.993323442,0.721202736,Madagascar
1.3568,MWI,21655286.0,1,7.851851852,5.600288487,Malawi
6.707,MYS,35557673.0,2,1.15637931,57.33905932,Malaysia
5.186,MLI,24478595.0,1,4.321666667,1.948551155,Mali
0.04133927,MLT,568847.0,3,81.8599396,185.8539707,Malta
1.3482,MRT,5169395.0,1,11.82631579,3.905759123,Mauritania
0.607,MUS,1245779.0,3,22.06470374,16.19454686,Mauritius
89.548,MEX,130861007.0,4,19.38738395,11.89852215,Mexico
0.4624,MNG,3524788.0,4,1.328735632,22.85467447,Mongolia
10.573,MAR,38081173.0,3,36.45862069,8.707181827,Morocco
1.473,MOZ,34631766.0,1,0.678489176,7.759052074,Mozambique
33.231,MMR,54500091.0,2,2.845607125,1.844365927,Myanmar
0.2819,NAM,3030131.0,2,0.706339263,30.49434834,Namibia
9.4971,NPL,29651054.0,2,4.518125595,2.640405029,Nepal
9.875,NZL,5287500.0,5,3.019877676,38.68756232,New Zealand
1.27302,NIC,6916140.0,4,0.773778264,7.558145789,Nicaragua
2.5833078,NER,27032412.0,1,7.586807049,2.759023384,Niger
12.472,NGA,232679478.0,1,4.357791754,30.12266596,Nigeria
1.59918,MKD,1824359.0,5,24.9871875,17.55577193,North Macedonia
2.6911,NOR,5572279.0,4,0.68475827,129.5812745,Norway
1.634,OMN,5281538.0,5,116.7142857,38.10386977,Oman
189.59,PAK,251269164.0,1,76.81928687,1.539766307,Pakistan
1.2114,PAN,4515577.0,4,0.869608913,41.12093775,Panama
2.413,PRY,6929153.0,3,0.622276092,13.89704445,Paraguay
38.55,PER,34217848.0,3,2.05075008,4.423579346,Peru
85.86714704,PHL,115843670.0,2,17.9263355,3.895398881,Philippines
8.667,POL,36559233.0,3,14.32561983,51.60076436,Poland
6.12953,PRT,10694681.0,3,7.919289406,28.48890729,Portugal
0.25,QAT,2857822.0,5,431.0344828,192.4198394,Qatar
0.846,MDA,2402306.0,4,6.894865526,8.446510848,Republic of Moldova
6.416,ROU,19051804.0,3,3.026272346,28.46818025,Romania
64.82,RUS,143533851.0,4,1.432345327,18.91209336,Russian Federation
0.61,RWA,14256567.0,2,4.586466165,12.07816507,Rwanda
0.0409,STP,235536.0,2,1.876146789,7.918243721,Sao Tome and Principe
23.38,SAU,35300280.0,5,974.1666667,25.07587204,Saudi Arabia
3.0616,SEN,18501984.0,1,7.856299718,5.718747899,Senegal
